account_id,customer_id,branch_id,account_type,opening_date,current_balance,account_status
500001,103797,24,Current,2022-04-27,1307403.4,Active
500002,100334,30,Savings,2022-06-06,52833.4,Active
500003,107106,19,Savings,2021-06-23,118883.42,Active
500004,100770,33,Salary,2023-04-15,97810.93,Active
500005,104144,13,Premium,2021-07-15,112380.17,Active
500006,104455,40,Salary,2017-06-22,161752.99,Active
500007,104429,20,Savings,2025-11-18,548933.34,Active
500008,104679,30,Savings,2017-10-04,464304.19,Active
500009,105089,24,Premium,2021-03-18,40614.95,Active
500010,109924,20,Salary,2019-07-02,114566.3,Active
500011,102527,11,Savings,2020-05-12,289029.8,Active
500012,104273,14,Savings,2022-02-13,61355.03,Active
500013,104896,32,Savings,2024-06-18,203150.75,Active
500014,106634,25,Salary,2017-10-29,657748.28,Active
500015,108712,23,Savings,2018-04-04,70419.83,Active
500016,106797,5,Savings,2020-01-19,136818.88,Active
500017,107257,17,Savings,2023-09-23,173316.71,Active
500018,101539,30,Premium,2018-10-13,86355.19,Active
500019,100721,34,Savings,2023-08-04,58709.96,Active
500020,105101,14,Savings,2023-07-14,44983.11,Active
500021,100343,27,Savings,2023-05-02,264040.94,Active
500022,108081,13,Current,2024-02-09,298225.83,Active
500023,105458,19,Savings,2025-07-25,55828.27,Active
500024,100468,31,Savings,2022-02-22,190952.74,Active
500025,103073,12,Savings,2022-08-30,76954.74,Active
500026,107129,11,Savings,2023-07-25,175258.08,Active
500027,106624,3,Savings,2018-02-16,369652.27,Active
500028,105490,32,Savings,2025-12-18,179515.75,Active
500029,108227,39,Salary,2021-06-27,164988.29,Active
500030,102134,39,Savings,2021-09-01,65126.95,Active
500031,105853,27,Savings,2017-08-30,52976.05,Active
500032,102272,9,Salary,2023-03-04,17946.0,Dormant
500033,100276,39,Current,2024-10-27,105445.67,Active
500034,107691,29,Savings,2023-06-08,37887.41,Active
500035,100597,13,Current,2024-04-17,713641.08,Active
500036,102304,37,Premium,2018-10-01,298579.03,Active
500037,105523,1,Savings,2025-04-19,503286.33,Active
500038,108417,38,Premium,2020-10-08,92229.77,Active
500039,102063,35,Current,2023-07-12,30615.89,Active
500040,104434,25,Savings,2022-04-30,124158.9,Active
500041,108186,36,Current,2021-07-24,422213.17,Active
500042,102704,11,Savings,2022-04-27,168813.44,Active
500043,109318,11,Savings,2020-10-23,86605.51,Active
500044,109370,29,Salary,2021-07-04,44911.46,Active
500045,100049,40,Savings,2019-02-04,110796.1,Active
500046,104792,16,Current,2019-06-18,20471.6,Active
500047,108103,26,Savings,2019-07-02,68845.85,Active
500048,106886,36,Savings,2021-01-13,112598.63,Active
500049,105052,19,Salary,2022-08-04,81660.31,Active
500050,101524,23,Premium,2020-09-16,190901.89,Active
500051,101678,33,Savings,2022-02-23,172439.22,Active
500052,104967,22,Salary,2024-12-08,123930.5,Active
500053,105018,7,Premium,2025-01-02,818158.21,Active
500054,104010,37,Current,2024-11-13,177767.37,Active
500055,103454,23,Savings,2021-01-21,183997.0,Active
500056,106712,30,Current,2021-10-27,42282.14,Active
500057,107732,14,Savings,2025-12-18,1487076.49,Active
500058,108778,21,Salary,2022-04-23,166468.77,Active
500059,107896,13,Savings,2021-06-21,49677.15,Active
500060,108975,14,Premium,2021-02-02,165514.73,Active
500061,108151,14,Savings,2024-06-30,409945.51,Active
500062,102721,18,Current,2017-09-23,161585.96,Closed
500063,107559,29,Current,2021-03-28,105733.33,Dormant
500064,108669,24,Premium,2019-03-26,93205.72,Active
500065,105758,37,Salary,2018-01-25,20996.52,Active
500066,108698,16,Savings,2025-12-24,102300.38,Dormant
500067,107201,7,Savings,2017-01-22,23118.54,Active
500068,108557,5,Salary,2025-04-22,89097.57,Active
500069,102221,17,Current,2017-01-16,234490.04,Active
500070,102490,12,Current,2019-12-24,72873.4,Active
500071,104999,16,Current,2021-07-16,20650.09,Active
500072,109242,20,Savings,2018-03-09,101163.19,Active
500073,106218,39,Savings,2022-09-05,106328.67,Active
500074,109715,10,Salary,2025-01-31,24999.72,Active
500075,104239,17,Savings,2018-11-27,7771.33,Active
500076,101198,23,Current,2024-02-05,115867.96,Active
500077,103763,39,Current,2021-08-07,745274.87,Active
500078,101526,22,Savings,2019-02-08,128013.61,Active
500079,108834,6,Salary,2022-04-02,58228.44,Active
500080,106110,20,Savings,2021-05-20,173713.93,Active
500081,101335,32,Premium,2023-11-13,114203.41,Active
500082,106489,18,Savings,2025-03-04,124269.27,Active
500083,105981,37,Savings,2020-05-10,216830.19,Active
500084,104760,21,Salary,2025-11-30,178042.59,Active
500085,103959,22,Salary,2020-11-15,57342.6,Active
500086,105489,2,Premium,2024-06-16,177031.47,Active
500087,100971,31,Current,2020-12-17,43616.67,Active
500088,102587,26,Salary,2018-06-27,164342.3,Dormant
500089,109487,23,Savings,2020-02-22,58033.47,Active
500090,103192,38,Savings,2022-03-21,52688.14,Active
500091,103099,10,Savings,2021-06-28,186574.94,Active
500092,109983,15,Savings,2018-07-02,53331.66,Active
500093,105395,21,Savings,2023-01-01,136005.64,Active
500094,104357,3,Savings,2018-05-23,200972.47,Active
500095,108200,20,Current,2024-08-20,102714.19,Active
500096,109344,21,Current,2025-11-02,30157.9,Active
