customer_id,loans,exposure,defaults,credit_score,risk_segment,annual_income,exposure_to_income
100001,1,462021.0,0,707,Medium,985857.3,0.4686489616702133
100002,2,1206806.8900000001,0,663,High,964200.81,1.251613644672213
100004,5,3039219.23,1,620,High,296497.64,10.250399396096373
100006,1,0.0,0,604,High,1190635.74,0.0
100007,2,151882.16,0,712,Medium,560512.88,0.27096997307180526
100008,3,3409014.09,0,774,Low,846467.14,4.027343684008809
100009,1,0.0,0,678,High,450544.31,0.0
100011,5,2527607.0700000003,0,655,High,868975.13,2.9087219906972486
100012,4,3188673.69,1,643,High,687336.54,4.639173831788428
100013,1,325818.41,0,754,Low,805710.26,0.4043865719173043
100015,3,3049463.8499999996,0,663,High,733372.54,4.158137486304027
100016,4,702818.1,0,708,Medium,1787500.22,0.39318490265696304
100017,1,127394.85,0,723,Medium,1378197.82,0.09243582318248043
100018,1,0.0,0,690,Medium,1935438.81,0.0
100019,3,2006784.63,0,678,High,1068384.47,1.8783356425987734
100020,3,2447563.38,0,587,Very High,1068744.15,2.2901303179063017
100021,1,60069.08,0,627,High,1241182.22,0.04839666491516451
100022,1,260425.29,0,729,Medium,1301913.01,0.20003278867303123
100023,1,433485.31,0,640,High,826490.61,0.5244890925016075
100024,2,373254.56,0,619,High,640348.37,0.5828929649653047
100025,4,2547244.19,0,691,Medium,230226.65,11.064071817923772
100026,2,2690914.33,0,694,Medium,1391582.14,1.9337085843887019
100027,3,202125.75,0,850,Low,2059823.64,0.09812769699060256
100028,2,927753.02,0,742,Medium,655350.62,1.4156590253931551
100030,2,473823.72000000003,0,702,Medium,910086.12,0.5206361349627
100031,3,198996.78,0,786,Low,2371589.72,0.08390860287588023
100032,2,410122.88,0,714,Medium,1444042.61,0.28401023429634115
100033,1,881099.95,0,674,High,407212.98,2.163732477289894
100034,2,1063741.56,0,780,Low,815647.75,1.3041678347056067
100035,2,1527430.75,0,718,Medium,285395.58,5.351977595448394
100036,1,0.0,0,681,Medium,420304.32,0.0
100037,2,712938.3200000001,0,724,Medium,1957135.48,0.36427642709742303
100038,2,0.0,0,743,Medium,392291.9,0.0
100039,1,0.0,0,613,High,1121025.63,0.0
100040,3,2233584.42,1,644,High,510638.28,4.374102975593604
100041,3,281861.58,0,763,Low,523899.98,0.5380064721514211
100042,4,253408.29,0,586,Very High,1824367.32,0.13890201124628784
100043,3,2162220.73,0,668,High,1194752.58,1.809764436750578
100045,1,208118.64,0,781,Low,700166.55,0.2972416205829884
100046,2,733014.51,0,747,Medium,1557755.89,0.47055800893168187
100047,2,260598.65999999997,0,674,High,1812410.68,0.14378565679164945
100049,1,399375.77,0,725,Medium,578591.32,0.6902553774916638
