payment_date,payments,avg_days_overdue,severe_late_rate
2020-02,16,3.1875,0.0
2020-03,37,8.621621621621621,5.405405405405405
2020-04,96,4.197916666666667,1.0416666666666665
2020-05,133,9.413533834586467,6.7669172932330826
2020-06,161,4.913043478260869,1.8633540372670807
2020-07,192,6.661458333333333,3.6458333333333335
2020-08,274,7.41970802919708,4.014598540145985
2020-09,282,5.801418439716312,3.546099290780142
2020-10,334,6.452095808383233,4.191616766467066
2020-11,380,4.2368421052631575,1.8421052631578945
2020-12,403,5.265508684863524,2.729528535980149
2021-01,437,6.068649885583524,4.118993135011442
2021-02,439,7.284738041002278,4.783599088838269
2021-03,559,6.103756708407871,4.651162790697675
2021-04,558,5.833333333333333,3.225806451612903
2021-05,640,7.375,4.21875
2021-06,669,5.977578475336323,3.587443946188341
2021-07,688,5.632267441860465,3.77906976744186
2021-08,701,5.708987161198288,3.2810271041369474
2021-09,741,5.958164642375169,3.508771929824561
2021-10,835,5.925748502994012,3.952095808383234
2021-11,831,6.5619735258724425,4.57280385078219
2021-12,894,5.850111856823267,4.026845637583892
2022-01,959,6.0479666319082375,3.962460896767466
2022-02,933,5.963558413719185,3.536977491961415
2022-03,993,7.385699899295066,4.934541792547835
2022-04,988,6.6417004048583,3.9473684210526314
2022-05,1104,5.625905797101449,3.3514492753623193
2022-06,1100,6.863636363636363,4.363636363636364
2022-07,1143,6.307086614173229,3.849518810148731
2022-08,1038,6.006743737957611,4.142581888246628
2022-09,1032,6.738372093023256,4.3604651162790695
2022-10,1121,5.269402319357717,3.033006244424621
2022-11,1068,5.48876404494382,3.3707865168539324
2022-12,1169,6.41573994867408,4.277159965782721
2023-01,1159,7.430543572044867,4.659188955996549
2023-02,1030,7.057281553398059,4.660194174757281
2023-03,1130,6.855752212389381,4.601769911504425
2023-04,1086,7.039594843462247,4.6040515653775325
2023-05,1134,6.6040564373897706,4.232804232804233
2023-06,1050,6.021904761904762,3.5238095238095237
2023-07,1207,6.991714995857498,4.888152444076222
2023-08,1128,5.425531914893617,3.0141843971631204
2023-09,1156,6.905709342560554,4.2387543252595155
2023-10,1097,6.217866909753874,4.010938924339107
2023-11,1053,6.530864197530864,4.273504273504273
2023-12,1149,6.442123585726719,4.090513489991297
2024-01,1159,7.518550474547023,4.486626402070751
2024-02,1033,6.486931268151016,4.065827686350436
2024-03,1175,6.656170212765957,3.6595744680851063
2024-04,1116,6.182795698924731,4.121863799283155
2024-05,1098,5.108378870673953,3.278688524590164
2024-06,1119,6.9848078641644324,4.20017873100983
2024-07,1153,6.0615784908933215,3.295750216825672
2024-08,1117,6.7251566696508505,4.476275738585497
2024-09,1095,6.454794520547945,3.9269406392694064
2024-10,1151,7.2762814943527365,4.604691572545613
2024-11,1117,6.486123545210385,3.670546105640107
2024-12,1148,6.817073170731708,4.2682926829268295
2025-01,1139,5.646180860403863,3.336259877085163
2025-02,1014,5.646942800788954,3.648915187376726
2025-03,1138,6.934094903339192,4.657293497363796
2025-04,1098,5.737704918032787,3.551912568306011
2025-05,1169,5.781864841745081,3.2506415739948675
2025-06,1239,7.54317998385795,5.084745762711865
2025-07,1174,6.959114139693356,4.258943781942079
2025-08,1126,5.781527531083482,3.108348134991119
2025-09,1122,6.303030303030303,4.27807486631016
2025-10,1171,6.39197267292912,4.269854824935952
2025-11,1102,5.212341197822141,3.176043557168784
2025-12,1131,7.083112290008842,4.332449160035367
2026-01,1103,5.510426110607434,3.2638259292837715
2026-02,1058,6.46124763705104,3.9697542533081283
2026-03,1125,6.287111111111111,3.911111111111111
2026-04,1167,5.636675235646958,3.0848329048843186
2026-05,1163,5.885640584694755,3.7833190025795354
2026-06,1107,6.841011743450768,4.426377597109305
2026-07,1197,5.594820384294069,3.1746031746031744
2026-08,1143,6.609798775153106,3.762029746281715
2026-09,1067,6.443298969072165,3.936269915651359
2026-10,1172,5.813139931740614,3.668941979522184
2026-11,1099,5.797088262056415,3.3666969972702456
2026-12,1092,7.4001831501831505,5.311355311355311
2027-01,1033,6.038722168441432,3.1945788964181996
2027-02,922,6.246203904555315,3.9045553145336225
2027-03,957,4.389759665621734,2.4033437826541273
2027-04,845,6.9905325443786985,4.023668639053255
2027-05,882,7.638321995464852,5.782312925170068
2027-06,797,6.351317440401505,3.638644918444166
2027-07,765,5.593464052287581,3.6601307189542487
2027-08,745,5.585234899328859,3.2214765100671143
2027-09,651,7.242703533026114,4.301075268817205
2027-10,638,8.289968652037617,5.799373040752351
2027-11,592,6.006756756756757,3.885135135135135
2027-12,605,6.064462809917355,3.6363636363636362
2028-01,528,6.261363636363637,4.356060606060606
2028-02,443,6.553047404063205,2.9345372460496613
2028-03,441,7.417233560090703,4.761904761904762
2028-04,403,7.168734491315137,4.714640198511166
2028-05,340,5.397058823529412,3.5294117647058822
2028-06,298,6.553691275167785,4.026845637583892
2028-07,271,7.8966789667896675,5.166051660516605
2028-08,256,4.74609375,2.34375
2028-09,190,7.926315789473684,5.263157894736842
2028-10,177,7.254237288135593,5.084745762711865
2028-11,116,5.129310344827586,3.4482758620689653
2028-12,94,9.819148936170214,6.382978723404255
2029-01,69,2.0869565217391304,1.4492753623188406
2029-02,18,8.38888888888889,5.555555555555555
