loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,tenure_months,loan_date,maturity_date,loan_status,outstanding_amount,default_flag
700001,108571,18,Personal,258617.38,14.79,12,2026-01-19,2027-01-14,Active,196918.34,0
700002,109352,15,Business,702452.77,10.12,240,2022-01-02,2041-09-19,Prepaid,0.0,0
700003,100395,4,Home,1297440.24,8.53,48,2024-11-22,2028-11-01,Active,1003042.27,0
700004,108897,21,Business,2303932.84,8.68,24,2025-03-13,2027-03-03,Closed,0.0,0
700005,103891,26,Gold,190202.96,10.1,36,2021-11-18,2024-11-02,Closed,0.0,0
700006,108045,3,Gold,235919.49,10.3,84,2022-06-24,2029-05-18,Active,89640.04,0
700007,101107,14,Business,1893379.13,10.01,180,2025-02-13,2039-11-27,Active,1017895.68,0
700008,108872,7,Auto,411766.96,7.7,36,2023-08-20,2026-08-04,Active,373333.49,0
700009,101498,25,Personal,210990.03,15.26,36,2023-04-25,2026-04-09,Active,61522.61,0
700010,108845,4,Business,2980327.15,10.77,60,2026-07-03,2031-06-07,Active,1139654.82,0
700011,103061,14,Education,303087.08,7.21,48,2020-08-15,2024-07-25,Active,260203.33,0
700012,102063,18,Education,743541.62,6.25,84,2021-11-11,2028-10-05,Active,283452.7,0
700013,101825,8,Personal,359348.51,14.14,60,2020-05-30,2025-05-04,Closed,0.0,0
700014,108445,16,Personal,257175.42,12.96,84,2022-12-21,2029-11-14,Active,64464.39,0
700015,100297,17,Personal,151529.16,12.45,240,2022-09-06,2042-05-24,Active,38510.62,0
700016,108481,5,Gold,212866.62,10.21,180,2025-10-26,2040-08-08,Active,147214.7,0
700017,107346,34,Personal,177794.06,12.96,24,2023-04-14,2025-04-03,Active,134675.76,0
700018,105664,24,Home,5518363.6,9.21,240,2024-06-04,2044-02-20,Closed,0.0,0
700019,101889,20,Personal,309827.61,12.21,180,2023-02-28,2037-12-11,Active,147466.68,0
700020,109140,33,Gold,809729.3,9.5,36,2026-08-19,2029-08-03,Closed,0.0,0
700021,106830,8,Personal,328775.9,12.0,84,2023-08-03,2030-06-27,Active,296505.21,0
700022,106029,5,Business,1742945.85,10.95,24,2025-05-15,2027-05-05,Closed,0.0,0
700023,108816,7,Personal,656227.35,11.9,240,2020-02-06,2039-10-24,Active,348992.44,0
700024,107989,20,Education,177338.55,8.5,48,2022-09-03,2026-08-13,Active,138931.44,0
700025,107930,7,Business,3965383.89,11.94,24,2022-01-04,2023-12-25,Active,1937989.57,0
700026,102432,24,Gold,262986.63,11.74,180,2022-08-27,2037-06-09,Active,92709.45,0
700027,108203,39,Gold,341934.07,9.77,36,2021-01-12,2023-12-28,Closed,0.0,0
700028,109868,11,Personal,73575.06,12.74,24,2020-01-10,2021-12-30,Prepaid,0.0,0
700029,105077,13,Education,497766.45,5.5,84,2025-06-12,2032-05-06,Active,464964.37,0
700030,109007,36,Home,1972376.06,5.5,48,2025-06-04,2029-05-14,Active,890586.78,0
700031,106197,20,Home,2264869.0,9.43,60,2024-02-08,2029-01-12,Closed,0.0,0
700032,100318,15,Auto,410621.33,11.9,48,2020-01-19,2023-12-29,Active,360556.94,0
700033,102149,20,Education,183269.51,6.66,36,2022-03-29,2025-03-13,Active,75831.09,0
700034,103794,25,Auto,837533.77,10.25,48,2020-08-13,2024-07-23,Active,731824.22,0
700035,104779,8,Personal,345894.6,11.02,60,2022-10-18,2027-09-22,Active,290321.86,0
700036,100887,15,Business,1954931.76,9.04,36,2021-05-18,2024-05-02,Closed,0.0,0
