payment_id,loan_id,payment_date,due_amount,payment_amount,days_overdue,payment_status
900001,700001,2028-02-03,10390.51,11391.14,0,On Time
900002,700001,2028-01-26,9891.9,10158.44,29,Late
900003,700001,2027-10-08,28824.06,29126.79,0,On Time
900004,700001,2026-12-14,36187.29,37468.84,0,On Time
900005,700001,2027-11-09,26858.02,28413.41,0,On Time
900006,700002,2023-08-11,28674.44,30146.47,7,Late
900007,700002,2023-03-19,32627.13,31950.61,0,On Time
900008,700002,2023-01-31,23580.89,25429.78,0,On Time
900009,700002,2023-05-10,22843.52,25362.8,0,On Time
900010,700002,2023-07-19,54293.78,53310.94,0,On Time
900011,700003,2025-09-19,27825.31,29870.6,0,On Time
900012,700003,2025-12-31,17482.15,17102.62,5,Late
900013,700003,2025-10-08,28302.52,29321.71,0,On Time
900014,700003,2026-11-06,14881.28,14960.12,0,On Time
900015,700003,2025-02-26,22599.67,23678.5,0,On Time
900016,700004,2027-08-21,13095.16,12795.77,0,On Time
900017,700004,2026-06-21,14999.56,15402.46,89,Severely Late
900018,700004,2027-05-13,24953.91,26197.96,0,On Time
900019,700004,2026-11-09,16157.99,14203.38,0,On Time
900020,700004,2025-12-25,6011.39,6759.67,0,On Time
900021,700005,2022-11-11,6400.96,6876.75,0,On Time
900022,700005,2022-08-30,14317.63,14839.52,0,On Time
900023,700005,2023-07-29,35944.81,32582.76,0,On Time
900024,700005,2023-01-08,16353.38,15862.52,0,On Time
900025,700005,2023-01-30,24609.43,26918.66,0,On Time
900026,700006,2022-09-26,15874.62,14915.73,0,On Time
900027,700006,2024-07-17,18848.88,18356.33,0,On Time
900028,700006,2023-04-14,24036.13,23490.51,0,On Time
900029,700006,2024-04-11,28802.14,28445.83,0,On Time
900030,700006,2024-06-04,12213.03,11366.84,0,On Time
900031,700007,2026-03-24,32175.14,35973.73,0,On Time
900032,700007,2025-12-13,20435.27,20903.05,0,On Time
900033,700007,2027-06-30,18466.99,16685.27,0,On Time
900034,700007,2025-09-26,14855.73,14728.99,0,On Time
900035,700007,2026-05-13,18865.87,16820.18,0,On Time
900036,700008,2025-05-14,11111.71,11277.63,0,On Time
900037,700008,2025-06-15,20317.33,17363.16,0,On Time
900038,700008,2026-01-24,15113.49,14731.22,17,Late
900039,700008,2025-10-06,18852.44,21364.2,0,On Time
900040,700008,2025-03-22,23748.3,24163.48,0,On Time
900041,700009,2024-09-27,12956.2,14045.98,0,On Time
900042,700009,2025-07-01,37725.74,38479.05,0,On Time
