transaction_id,account_id,transaction_date,transaction_type,amount,merchant_category,channel,transaction_status
1200001,501813,2025-12-27 21:04:44,Payment,14645.93,Shopping,Internet Banking,Success
1200002,512548,2025-01-31 07:42:02,Deposit,6361.94,Other,Internet Banking,Success
1200003,503226,2025-03-29 21:17:45,Interest,8635.63,Healthcare,Mobile,Success
1200004,501600,2025-06-26 00:49:54,Withdrawal,287.76,Travel,POS,Success
1200005,502134,2025-12-07 07:04:31,Withdrawal,3654.78,Healthcare,POS,Success
1200006,512730,2025-04-22 22:49:18,Withdrawal,6694.87,Utilities,ATM,Success
1200007,508411,2025-07-28 16:20:54,Fee,12123.66,Travel,Mobile,Success
1200008,505223,2025-10-31 22:27:39,Withdrawal,8563.99,Dining,POS,Success
1200009,512161,2025-03-28 07:08:17,Interest,1389.79,Utilities,Internet Banking,Success
1200010,512463,2025-04-05 11:48:32,Payment,12138.41,Utilities,POS,Success
1200011,503504,2025-04-30 22:45:44,Interest,6626.83,Shopping,Branch,Success
1200012,513583,2025-06-12 16:23:57,Deposit,2895.55,Groceries,Mobile,Success
1200013,504480,2025-07-11 05:59:34,Deposit,19466.29,Education,UPI,Success
1200014,509056,2025-05-12 02:12:15,Deposit,2931.73,Groceries,Branch,Success
1200015,501989,2025-03-21 11:16:44,Interest,18702.38,Utilities,Internet Banking,Success
1200016,505283,2025-08-26 06:32:16,Payment,4673.14,Travel,UPI,Success
1200017,507095,2025-12-03 22:57:08,Payment,14150.45,Utilities,Internet Banking,Success
1200018,507794,2025-09-25 20:10:52,Deposit,9839.89,Education,POS,Success
1200019,502330,2025-10-19 02:43:13,Interest,1079.56,Other,ATM,Success
1200020,510628,2025-10-19 05:15:55,Withdrawal,2948.41,Healthcare,ATM,Reversed
1200021,508899,2025-06-11 11:53:20,Withdrawal,12524.73,Other,Mobile,Success
1200022,501672,2025-05-23 00:58:53,Withdrawal,32946.66,Other,POS,Success
1200023,502259,2025-02-06 00:47:00,Payment,10984.26,Utilities,ATM,Success
1200024,511221,2025-08-28 08:40:25,Transfer,8768.79,Utilities,Internet Banking,Success
1200025,505623,2025-09-22 00:04:05,Withdrawal,1271.51,Shopping,POS,Success
1200026,508736,2025-02-24 17:07:31,Transfer,1398.0,Dining,Branch,Success
